Store,Lane,DateTime,Diag,Footprint
065,117,12.06.2022-17.21.50,WMM0065POS117-221206-172327,SMSecUXIncreaseShopperCleared|SMThankYou|SMAttract|SMSmAuthorization|SMSmSystemFunctions
065,119,11.05.2022-09.49.16,WMM0065POS119-221105-095800,SMBagAndEAS|SMScanAndBag|SMBagAndEAS|SMScanAndBag|SMBagAndEAS
065,120,10.04.2022-04.02.24,WMM0065POS120-221004-035759,SMAttract|SMLaneClosed|SMOutOfService2|SMAttract|SMLaneClosed
065,121,10.31.2022-20.59.14,WMM0065POS121-221031-205448,SMAttract|SMLaneClosed|SMOutOfService2|SMAttract|SMLaneClosed
065,123,10.16.2022-16.14.13,WMM0065POS123-221016-195106,SMThankYou|SMAttract|SMSmAuthorization|SMAttract|SMLaneClosed
065,123,10.29.2022-06.31.27,WMM0065POS123-221029-063119,SMSmAuthorization|SMSmMediaStatus|SMSmCashManagementEx|SMRAPDataNeeded|SMSmDataEntry
065,124,09.15.2022-22.03.03,WMM0065POS124-220916-061318,SMSmCashManagementEx|SMSmMediaStatus|SMSmAuthorization|SMAttract|SMLaneClosed
065,124,09.23.2022-21.49.54,WMM0065POS124-220924-062514,SMSmCashManagementEx|SMSmMediaStatus|SMSmAuthorization|SMAttract|SMLaneClosed
065,124,09.30.2022-10.21.32,WMM0065POS124-220930-102311,SMCardProcessing|SMTakeCard|SMTakeReceipt|SMThankYou|SMAttract
065,124,10.03.2022-20.53.29,WMM0065POS124-221003-205640,SMBagAndEAS|SMScanAndBag|SMBagAndEAS|SMScanAndBag|SMBagAndEAS
065,124,10.06.2022-08.39.24,WMM0065POS124-221006-084047,SMThankYou|SMAttract|SMBagAndEAS|SMScanAndBag|SMBagAndEAS
065,124,10.06.2022-22.42.14,WMM0065POS124-221007-063017,SMSmCashManagementEx|SMSmMediaStatus|SMSmAuthorization|SMAttract|SMLaneClosed
065,125,11.05.2022-14.14.55,WMM0065POS125-221105-141607,SMCardProcessing|SMTakeCard|SMTakeReceipt|SMThankYou|SMAttract
065,137,12.09.2022-15.31.31,WMM0065POS137-221209-153250,SMThankYou|SMAttract|SMContextHelp|SMSmAuthorization|SMSmSystemFunctions
065,137,12.14.2022-16.22.07,WMM0065POS137-221214-162535,SMAttract|SMLaneClosed|SMAttract|SMSmAuthorization|SMSmSystemFunctions
065,140,12.14.2022-16.34.03,WMM0065POS140-221214-164644,SMTakeReceipt|SMThankYou|SMAttract|SMSmAuthorization|SMSmSystemFunctions
065,140,12.14.2022-21.49.20,WMM0065POS140-221214-215406,SMTakeReceipt|SMThankYou|SMAttract|SMSmAuthorization|SMSmSystemFunctions
326,139,12.05.2022-21.26.04,WMM0326POS139-221206-032713,SMAttract|SMSmAuthorization|SMAttract|SMLaneClosed|SMOutOfService
326,139,12.08.2022-10.17.30,WMM0326POS139-221208-102828,SMBagAndEAS|SMScanAndBag|SMBagAndEAS|SMScanAndBag|SMBagAndEAS
