Store,Lane,DateTime,Foorprint,Diag,Build
15,116,03.03.2022-21.41.25,"SMContextHelp,SMSmAuthorization,SMAttract,SMLaneClosed,SMOutOfService",WMM0015POS116-230304-033641,Morrisons Lane Full Morrisons_LaneSetup-ADK622Release230209E1.1.0.0.33
15,116,03.06.2022-13.46.29,"SMCardProcessing,SMCardProcessing,SMTakeCard,SMTakeReceipt,SMThankYou",WMM0015POS116-230306-135513,Morrisons Lane Full Morrisons_LaneSetup-ADK622Release230209E1.1.0.0.33
15,116,03.06.2022-18.31.48,"SMCardProcessing,SMCardProcessing,SMTakeCard,SMTakeReceipt,SMThankYou",WMM0015POS116-230306-185642,Morrisons Lane Full Morrisons_LaneSetup-ADK622Release230209E1.1.0.0.33
15,116,03.07.2022-08.02.54,"SMTakeChange,SMTakeReceipt,SMThankYou,SMSystemMessage4,SMThankYou",WMM0015POS116-230307-084225,Morrisons Lane Full Morrisons_LaneSetup-ADK622Release230209E1.1.0.0.33
15,116,03.07.2022-09.09.23,"SMProcessing,SMCmDataEntry,SMTakeCard,SMTakeReceipt,SMThankYou",WMM0015POS116-230307-091741,Morrisons Lane Full Morrisons_LaneSetup-ADK622Release230209E1.1.0.0.33
15,117,03.02.2022-21.12.39,"SMAttract,SMContextHelp,SMSmAuthorization,SMAttract,SMLaneClosed",WMM0015POS117-230303-023022,Morrisons Lane Full Morrisons_LaneSetup-ADK622Release230209E1.1.0.0.33
15,117,03.03.2022-21.41.30,"SMAttract,SMContextHelp,SMSmAuthorization,SMAttract,SMLaneClosed",WMM0015POS117-230304-012824,Morrisons Lane Full Morrisons_LaneSetup-ADK622Release230209E1.1.0.0.33
15,117,03.03.2022-21.41.30,"SMAttract,SMContextHelp,SMSmAuthorization,SMAttract,SMLaneClosed",WMM0015POS117-230304-014347,Morrisons Lane Full Morrisons_LaneSetup-ADK622Release230209E1.1.0.0.33
15,117,03.03.2022-21.41.30,"SMAttract,SMContextHelp,SMSmAuthorization,SMAttract,SMLaneClosed",WMM0015POS117-230304-015558,Morrisons Lane Full Morrisons_LaneSetup-ADK622Release230209E1.1.0.0.33
15,117,03.04.2022-02.09.18,"SMAttract,SMLaneClosed,SMOutOfService2,SMAttract,SMLaneClosed",WMM0015POS117-230304-020541,Morrisons Lane Full Morrisons_LaneSetup-ADK622Release230209E1.1.0.0.33
15,117,03.04.2022-02.09.18,"SMAttract,SMLaneClosed,SMOutOfService2,SMAttract,SMLaneClosed",WMM0015POS117-230304-021911,Morrisons Lane Full Morrisons_LaneSetup-ADK622Release230209E1.1.0.0.33
15,117,03.04.2022-18.55.55,"SMBagAndEAS,SMScanAndBag,SMBagAndEAS,SMScanAndBag,SMBagAndEAS",WMM0015POS117-230304-185851,Morrisons Lane Full Morrisons_LaneSetup-ADK622Release230209E1.1.0.0.33
15,117,03.04.2022-18.55.55,"SMBagAndEAS,SMScanAndBag,SMBagAndEAS,SMScanAndBag,SMBagAndEAS",WMM0015POS117-230304-191733,Morrisons Lane Full Morrisons_LaneSetup-ADK622Release230209E1.1.0.0.33
15,118,03.03.2022-21.49.06,"SMContextHelp,SMSmAuthorization,SMAttract,SMLaneClosed,SMOutOfService",WMM0015POS118-230304-034309,Morrisons Lane Full Morrisons_LaneSetup-ADK622Release230209E1.1.0.0.33
15,118,03.04.2022-11.35.43,"SMSmConfirmSuspendedTransaction,SMTakeCard,SMTakeReceipt,SMThankYou,SMAttract",WMM0015POS118-230304-114121,Morrisons Lane Full Morrisons_LaneSetup-ADK622Release230209E1.1.0.0.33
15,118,03.06.2022-13.53.06,"SMTakeReceipt,SMThankYou,SMAttract,SMScaleBroken,SMAttract",WMM0015POS118-230306-140508,Morrisons Lane Full Morrisons_LaneSetup-ADK622Release230209E1.1.0.0.33
15,119,03.03.2022-21.50.46,"SMContextHelp,SMSmAuthorization,SMAttract,SMLaneClosed,SMOutOfService",WMM0015POS119-230304-033929,Morrisons Lane Full Morrisons_LaneSetup-ADK622Release230209E1.1.0.0.33
15,119,03.04.2022-08.17.43,"SMTakeCard,SMTakeReceipt,SMThankYou,SMAttract,SMScaleBroken",WMM0015POS119-230304-083401,Morrisons Lane Full Morrisons_LaneSetup-ADK622Release230209E1.1.0.0.33
15,120,03.03.2022-20.27.03,"SMCardProcessing,SMTakeCard,SMTakeReceipt,SMThankYou,SMAttract",WMM0015POS120-230303-203914,Morrisons Lane Full Morrisons_LaneSetup-ADK622Release230209E1.1.0.0.33
15,120,03.03.2022-21.41.50,"SMContextHelp,SMSmAuthorization,SMAttract,SMLaneClosed,SMOutOfService",WMM0015POS120-230304-033807,Morrisons Lane Full Morrisons_LaneSetup-ADK622Release230209E1.1.0.0.33
15,120,03.06.2022-18.38.30,"SMFinish,SMProcessing,SMFinish,SMCashPayment,SMSystemMessage4",WMM0015POS120-230307-053654,Morrisons Lane Full Morrisons_LaneSetup-ADK622Release230209E1.1.0.0.33
15,120,03.06.2022-18.38.30,"SMFinish,SMCashPayment,SMSystemMessage4,SMOutOfService2,SMSystemMessageStartup",WMM0015POS120-230307-090201,Morrisons Lane Full Morrisons_LaneSetup-ADK622Release230209E1.1.0.0.33
15,121,03.02.2022-21.12.49,"SMAttract,SMContextHelp,SMSmAuthorization,SMAttract,SMLaneClosed",WMM0015POS121-230303-023522,Morrisons Lane Full Morrisons_LaneSetup-ADK622Release230209E1.1.0.0.33
15,121,03.03.2022-21.42.09,"SMAttract,SMContextHelp,SMSmAuthorization,SMAttract,SMLaneClosed",WMM0015POS121-230303-230525,Morrisons Lane Full Morrisons_LaneSetup-ADK622Release230209E1.1.0.0.33
15,121,03.03.2022-21.42.09,"SMAttract,SMContextHelp,SMSmAuthorization,SMAttract,SMLaneClosed",WMM0015POS121-230303-232849,Morrisons Lane Full Morrisons_LaneSetup-ADK622Release230209E1.1.0.0.33
15,121,03.03.2022-23.44.41,"SMAttract,SMLaneClosed,SMOutOfService2,SMAttract,SMLaneClosed",WMM0015POS121-230303-234036,Morrisons Lane Full Morrisons_LaneSetup-ADK622Release230209E1.1.0.0.33
15,121,03.03.2022-23.44.41,"SMAttract,SMLaneClosed,SMOutOfService2,SMAttract,SMLaneClosed",WMM0015POS121-230303-235915,Morrisons Lane Full Morrisons_LaneSetup-ADK622Release230209E1.1.0.0.33
15,137,03.02.2022-21.58.27,"SMAttract,SMContextHelp,SMSmAuthorization,SMAttract,SMLaneClosed",WMM0015POS137-230303-023034,Morrisons Lane Full Morrisons_LaneSetup-ADK622Release230209E1.1.0.0.33
15,137,03.03.2022-22.02.39,"SMAttract,SMContextHelp,SMSmAuthorization,SMAttract,SMLaneClosed",WMM0015POS137-230304-024612,Morrisons Lane Full Morrisons_LaneSetup-ADK622Release230209E1.1.0.0.33
